"id"	"hs02"	"name"
"0101"	"01"	"Live animals"
"010101"	"0101"	"Live horses, asses, mules and hinnies."
"01010110"	"010110"	"Live horses/asses/mules/hinnies: pure-bred breeding animals"
"01010190"	"010190"	"Live horses/asses/mules/hinnies other than pure-bred breeding animals"
"010102"	"0102"	"Live bovine animals."
"01010210"	"010210"	"Live bovine animals: pure-bred breeding animals"
"01010290"	"010290"	"Live bovine animals other than pure-bred breeding animals"
"010103"	"0103"	"Live swine."
"01010310"	"010310"	"Live swine: pure-bred breeding animals"
"01010391"	"010391"	"Live swine other than pure-bred breeding animals, weighing < 50kg"
"01010392"	"010392"	"Live swine other than pure-bred breeding animals, weighing 50kg/more"
"010104"	"0104"	"Live sheep and goats."
"01010410"	"010410"	"Live sheep"
"01010420"	"010420"	"Live goats"
"010105"	"0105"	"Live poultry"
"01010511"	"010511"	"Live fowls of species Gallus domesticus, weighing not >185g"
"01010512"	"010512"	"Live turkeys, weighing not >185g"
"01010519"	"010519"	"Live ducks/geese/guinea fowls, weighing not >185g"
"01010592"	"010592"	"Live fowls of species Gallus domesticus, weighing >185g but not >2000g"
"01010593"	"010593"	"Live fowls of species Gallus domesticus, weighing >2000g"
"01010599"	"010599"	"Live ducks/geese/turkeys/guinea fowls, weighing >185g"
"010106"	"0106"	"Other live animals."
"01010611"	"010611"	"Live primates"
"01010612"	"010612"	"Live whales/dolphins & porpoises (order Cetacea)/manatees & dugongs (order  ..."
"01010619"	"010619"	"Live mammals, n.e.s."
"01010620"	"010620"	"Live reptiles, incl. snakes & turtles"
"01010631"	"010631"	"Live birds of prey"
"01010632"	"010632"	"Live birds (order Psittaciformes), incl. parrots/parakeets/macaws/cockatoos ..."
"01010639"	"010639"	"Live birds (excl. of 0106.31 & 0106.32)"
"01010690"	"010690"	"Live animals, n.e.s."
"0102"	"02"	"Meat and edible meat offal"
"010201"	"0201"	"Meat of bovine animals, fresh or chilled."
"01020110"	"020110"	"Carcasses/half-carcasses of bovine animals, fresh/chilled"
"01020120"	"020120"	"Meat of bovine animals, fresh/chilled (excl. of 0201.10), bone-in"
"01020130"	"020130"	"Meat of bovine animals, fresh/chilled, boneless"
"010202"	"0202"	"Meat of bovine animals, frozen."
"01020210"	"020210"	"Carcasses/half-carcasses of bovine animals, frozen"
"01020220"	"020220"	"Meat of bovine animals, frozen (excl. of 0202.10), bone-in"
"01020230"	"020230"	"Meat of bovine animals, frozen, boneless"
"010203"	"0203"	"Meat of swine, fresh, chilled or frozen."
"01020311"	"020311"	"Carcasses/half-carcasses of swine, fresh/chilled"
"01020312"	"020312"	"Hams, shoulders & cuts thereof , fresh/chilled, bone-in"
"01020319"	"020319"	"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ..."
"01020321"	"020321"	"Carcasses/half-carcasses of swine, frozen"
"01020322"	"020322"	"Hams, shoulders & cuts thereof , frozen, bone-in"
"01020329"	"020329"	"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ..."
"010204"	"0204"	"Meat of sheep or goats, fresh, chilled or frozen."
"01020410"	"020410"	"Carcasses/half-carcasses of lamb, fresh/chilled"
"01020421"	"020421"	"Carcasses/half-carcasses of sheep (excl. lamb), fresh/chilled"
"01020422"	"020422"	"Meat of sheep (excl. lamb & carcasses), fresh/chilled, bone-in"
"01020423"	"020423"	"Meat of sheep (excl. lamb), fresh/chilled, boneless"
"01020430"	"020430"	"Carcasses/half-carcasses of lamb, frozen"
"01020441"	"020441"	"Carcasses/half-carcasses of sheep (excl. lamb), frozen"
"01020442"	"020442"	"Meat of sheep (excl. lamb & carcasses), frozen, bone-in"
"01020443"	"020443"	"Meat of sheep (excl. lamb), frozen, boneless"
"01020450"	"020450"	"Meat of goats, fresh/chilled/frozen"
