"id"	"hs92"	"name"
"010101"	"0101"	"Horses"
"01010111"	"010111"	"Horses, live pure-bred breeding"
"01010119"	"010119"	"Horses, live except pure-bred breeding"
"01010120"	"010120"	"Asses, mules and hinnies, live"
"010102"	"0102"	"Bovine"
"01010210"	"010210"	"Bovine animals, live pure-bred breeding"
"01010290"	"010290"	"Bovine animals, live, except pure-bred breeding"
"010103"	"0103"	"Pigs"
"01010310"	"010310"	"Swine, live pure-bred breeding"
"01010391"	"010391"	"Swine, live except pure-bred breeding < 50 kg"
"01010392"	"010392"	"Swine, live except pure-bred breeding > 50 kg"
"010104"	"0104"	"Sheep and Goats"
"01010410"	"010410"	"Sheep, live"
"01010420"	"010420"	"Goats, live"
"010105"	"0105"	"Poultry"
"01010511"	"010511"	"Fowls, live domestic < 185 grams"
"01010519"	"010519"	"Poultry, live except domestic fowls, < 185 grams"
"01010591"	"010591"	"Fowls, live domestic > 185 grams"
"01010599"	"010599"	"Poultry, live except domestic fowls, > 185 grams"
"010106"	"0106"	"Other Animals"
"01010600"	"010600"	"Animals, live, except farm animals"
"010201"	"0201"	"Bovine Meat"
"01020110"	"020110"	"Bovine carcasses and half carcasses, fresh or chilled"
"01020120"	"020120"	"Bovine cuts bone in, fresh or chilled"
"01020130"	"020130"	"Bovine cuts boneless, fresh or chilled"
"010202"	"0202"	"Frozen Bovine Meat"
"01020210"	"020210"	"Bovine carcasses and half carcasses, frozen"
"01020220"	"020220"	"Bovine cuts bone in, frozen"
"01020230"	"020230"	"Bovine cuts boneless, frozen"
"010203"	"0203"	"Pig Meat"
"01020311"	"020311"	"Swine carcasses and half carcasses, fresh or chilled"
"01020312"	"020312"	"Swine hams, shoulders & cuts bone in, fresh or chille"
"01020319"	"020319"	"Swine cuts, fresh or chilled, nes"
"01020321"	"020321"	"Swine carcasses and half carcasses, frozen"
"01020322"	"020322"	"Hams, shoulders and cuts, of swine, bone in, frozen"
"01020329"	"020329"	"Swine cuts, frozen nes"
"010204"	"0204"	"Sheep and Goat Meat"
"01020410"	"020410"	"Lamb carcasses and half carcasses, fresh or chilled"
"01020421"	"020421"	"Sheep carcasses and half carcasses, fresh or chilled"
"01020422"	"020422"	"Sheep cuts, bone in, fresh or chilled"
"01020423"	"020423"	"Sheep cuts, boneless, fresh or chilled"
"01020430"	"020430"	"Lamb carcasses and half carcasses, frozen"
"01020441"	"020441"	"Sheep carcasses and half carcasses, frozen"
"01020442"	"020442"	"Sheep cuts, bone in, frozen"
"01020443"	"020443"	"Sheep cuts, boneless, frozen"
"01020450"	"020450"	"Goat meat, fresh, chilled or frozen"
"010205"	"0205"	"Horse Meat"
"01020500"	"020500"	"Horse, ass, mule, hinny meat, fresh, chilled or froze"
"010206"	"0206"	"Edible Offal"
"01020610"	"020610"	"Bovine edible offal, fresh or chilled"
"01020621"	"020621"	"Bovine tongues, frozen"
"01020622"	"020622"	"Bovine livers, frozen"
"01020629"	"020629"	"Bovine edible offal, frozen except livers and tongues"
"01020630"	"020630"	"Swine edible offal, fresh or chilled"
"01020641"	"020641"	"Swine livers, frozen"
"01020649"	"020649"	"Swine edible offal, frozen except livers"
"01020680"	"020680"	"Sheep, goat, ass, mule, hinnie offal, fresh or chille"
"01020690"	"020690"	"Sheep, goat, ass, mule, hinnie edible offal, frozen"
"010207"	"0207"	"Poultry Meat"
"01020710"	"020710"	"Poultry, domestic, whole, fresh or chilled"
"01020721"	"020721"	"Fowls, domestic, whole, frozen"
"01020722"	"020722"	"Turkeys, domestic, whole, frozen"
"01020723"	"020723"	"Ducks, geese and guinea fowls, domestic, whole, froze"
"01020731"	"020731"	"Fatty livers (geese,ducks) domestic fresh or chilled"
"01020739"	"020739"	"Poultry cuts & offal, except livers, fresh or chilled"
"01020741"	"020741"	"Fowl cuts & offal, domestic, except livers, frozen"
"01020742"	"020742"	"Turkey cuts & offal, except livers, frozen"
"01020743"	"020743"	"Duck, goose, guinea fowl cuts, offal not liver, froze"
"01020750"	"020750"	"Poultry livers, domestic, frozen"
"010208"	"0208"	"Other Meat"
"01020810"	"020810"	"Rabbit or hare meat, offal, fresh, chilled or frozen"
"01020820"	"020820"	"Frog legs, fresh, chilled or frozen"
"01020890"	"020890"	"Meat and edible offal nes fresh, chilled or frozen"
"010209"	"0209"	"Animal Fat"
"01020900"	"020900"	"Pig and poultry fat, unrendered"
"010210"	"0210"	"Preserved Meat"
"01021011"	"021011"	"Hams and shoulders, swine, salted, dried or smoked"
"01021012"	"021012"	"Bellies (streaky) of swine, salted, dried or smoked"
"01021019"	"021019"	"Swine meat, salted/dried/smoked not ham/shoulder/bell"
"01021020"	"021020"	"Bovine meat salted, dried or smoked"
"01021090"	"021090"	"Meat and edible meat offal cured, flours, meals nes"
"010301"	"0301"	"Live Fish"
"01030110"	"030110"	"Ornamental fish, live"
"01030191"	"030191"	"Trout, live"
"01030192"	"030192"	"Eels, live"
"01030193"	"030193"	"Carp, live"
"01030199"	"030199"	"Fish live, except trout, eel or carp"
"010302"	"0302"	"Non-fillet Fresh Fish"
"01030211"	"030211"	"Trout, fresh or chilled, whole"
"01030212"	"030212"	"Salmon fresh or chilled, whole"
"01030219"	"030219"	"Salmonidae, not trout or salmon,fresh or chilled whol"
"01030221"	"030221"	"Halibut, fresh or chilled, whole"
"01030222"	"030222"	"Plaice, fresh or chilled, whole"
"01030223"	"030223"	"Sole, fresh or chilled, whole"
"01030229"	"030229"	"Flatfish, fresh/chilled not halibut/plaice/sole, whol"
"01030231"	"030231"	"Tuna(albacore,longfin) fresh or chilled, whole"
"01030232"	"030232"	"Tuna(yellowfin) fresh or chilled, whole"
"01030233"	"030233"	"Skipjack,stripe-belly bonito, fresh or chilled, whole"
"01030239"	"030239"	"Tuna nes, fresh or chilled, whole"
"01030240"	"030240"	"Herring, fresh or chilled, whole"
"01030250"	"030250"	"Cod, fresh or chilled, whole"
"01030261"	"030261"	"Sardines,brisling,sprats, fresh or chilled, whole"
"01030262"	"030262"	"Haddock, fresh or chilled, whole"
"01030263"	"030263"	"Coalfish, fresh or chilled, whole"
"01030264"	"030264"	"Mackerel, fresh or chilled, whole"
"01030265"	"030265"	"Dogfish and other sharks, fresh or chilled, whole"
"01030266"	"030266"	"Eels, fresh or chilled, whole"
"01030269"	"030269"	"Fish nes, fresh or chilled, whole"
"01030270"	"030270"	"Fish livers and roes, fresh or chilled"
"010303"	"0303"	"Non-fillet Frozen Fish"
"01030310"	"030310"	"Salmon, Pacific, frozen, whole"
"01030321"	"030321"	"Trout, frozen, whole"
"01030322"	"030322"	"Salmon Atlantic or Danube, frozen, whole"
"01030329"	"030329"	"Salmonidae, nes,frozen, whole"
"01030331"	"030331"	"Halibut, frozen, whole"
"01030332"	"030332"	"Plaice, frozen, whole"
"01030333"	"030333"	"Sole, frozen, whole"
"01030339"	"030339"	"Flatfish except halibut, plaice or sole, frozen, whol"
"01030341"	"030341"	"Tunas(albacore,longfin), frozen, whole"
"01030342"	"030342"	"Tunas(yellowfin) frozen, whole"
"01030343"	"030343"	"Skipjack,stripe-bellied bonito, frozen, whole"
"01030349"	"030349"	"Tunas nes, frozen, whole"
"01030350"	"030350"	"Herrings, frozen, whole"
"01030360"	"030360"	"Cod, frozen, whole"
"01030371"	"030371"	"Sardines,brisling,sprats, frozen, whole"
"01030372"	"030372"	"Haddock, frozen, whole"
"01030373"	"030373"	"Coalfish, frozen, whole"
"01030374"	"030374"	"Mackerel, frozen, whole"
"01030375"	"030375"	"Dogfish and other sharks, frozen, whole"
"01030376"	"030376"	"Eels, frozen, whole"
